phrase,word
can you start Slack please?,Slack
"Joseh, play Digital Rain",Digital Rain
could you play Hotel California?,Hotel California
Joseh please launch Firefox,Firefox
Joseh play me Heat Waves,Heat Waves
"Joseh, pull up PixelForge",PixelForge
please play Solar Drift,Solar Drift
"Joseh, queue up Void Walker",Void Walker
open VoxTerminal please,VoxTerminal
"Joseh, I want to open Telegram",Telegram
"hey Joseh, play Velvet Storm for me",Velvet Storm
play the music Sunflower,Sunflower
start Figma,Figma
Joseh play me Frozen Tide,Frozen Tide
"Joseh, play the song Shape of You",Shape of You
play Rockstar right now,Rockstar
put on Chrome Hearts,Chrome Hearts
please play Ghost Frequency,Ghost Frequency
can you start NovaBrowser please?,NovaBrowser
"Joseh, play the song Stairway to Heaven",Stairway to Heaven
could you open IntelliJ?,IntelliJ
Joseh play me Rolling in the Deep,Rolling in the Deep
pull up LibreOffice for me,LibreOffice
Joseh play Electric Bloom,Electric Bloom
"Joseh, play Sunflower",Sunflower
"hey Joseh, play Old Town Road for me",Old Town Road
would you open Spotify for me?,Spotify
Joseh open VirtualBox,VirtualBox
could you play Broken Signal?,Broken Signal
"Joseh, I want to open Wireshark",Wireshark
go ahead and open PulseChat,PulseChat
play the music Dark Matter,Dark Matter
I want to listen to Stay,Stay
can you play Blinding Lights?,Blinding Lights
I want to listen to Stairway to Heaven,Stairway to Heaven
launch PyCharm,PyCharm
can you play Stay?,Stay
Joseh start SkyDash,SkyDash
"Joseh, launch PyCharm for me",PyCharm
"Joseh, play the song Stairway to Heaven",Stairway to Heaven
I want to listen to Dark Matter,Dark Matter
"Joseh, play the song Montero",Montero
"Joseh, pull up SwiftNotes",SwiftNotes
please play Electric Bloom,Electric Bloom
"Joseh, open ArcLauncher for me",ArcLauncher
can you start Inkscape please?,Inkscape
could you play Electric Bloom?,Electric Bloom
Joseh play me Hotel California,Hotel California
open up Brave,Brave
"Joseh, open Notion for me",Notion
I'd like to hear Rolling in the Deep,Rolling in the Deep
Joseh play Neon Shadows,Neon Shadows
Joseh please launch IntelliJ,IntelliJ
pull up NovaBrowser for me,NovaBrowser
can you play Montero?,Montero
please play Dark Matter,Dark Matter
"Joseh, queue up Dark Matter",Dark Matter
"Joseh, launch LibreOffice for me",LibreOffice
"hey, open Postman",Postman
Joseh play Ghost Frequency,Ghost Frequency
"Joseh, open Notepad++ for me",Notepad++
"Joseh, play the song Void Walker",Void Walker
"Joseh, put on Stairway to Heaven",Stairway to Heaven
"Joseh, start playing Frozen Tide",Frozen Tide
"Joseh, pull up Figma",Figma
could you play As It Was?,As It Was
Joseh start Firefox,Firefox
go ahead and open VS Code,VS Code
Joseh start Discord,Discord
Joseh play me As It Was,As It Was
Joseh start VirtualBox,VirtualBox
launch KeePass,KeePass
"Joseh, I want to hear Crystal Cave",Crystal Cave
play Bad Guy right now,Bad Guy
"Joseh, I want to open DaVinci Resolve",DaVinci Resolve
can you play Peaches?,Peaches
would you open LibreOffice for me?,LibreOffice
can you start VLC please?,VLC
"Joseh, put on Neon Shadows",Neon Shadows
start playing Watermelon Sugar please,Watermelon Sugar
"Joseh, open FileZilla for me",FileZilla
I want to listen to Iron Sky,Iron Sky
please open NovaBrowser,NovaBrowser
open up Audacity,Audacity
please open Wireshark,Wireshark
"Joseh, play the song Rolling in the Deep",Rolling in the Deep
can you play Fading Light?,Fading Light
Joseh open Notion,Notion
Joseh play me Parallel Lines,Parallel Lines
can you play Ghost Frequency?,Ghost Frequency
I need you to open StellarSync,StellarSync
open up Postman,Postman
play Stay please,Stay
"Joseh, queue up Bohemian Rhapsody",Bohemian Rhapsody
"Joseh, play Old Town Road",Old Town Road
I'd like to hear Peaches,Peaches
"Joseh, queue up Hotel California",Hotel California
please open Telegram,Telegram
Joseh start Notion,Notion
would you open OBS Studio for me?,OBS Studio
"Joseh, launch Discord for me",Discord
"Joseh, pull up VLC",VLC
I want to listen to Crystal Cave,Crystal Cave
could you open CodeNest?,CodeNest
please play Levitating,Levitating
start playing Stairway to Heaven please,Stairway to Heaven
I want to listen to Electric Bloom,Electric Bloom
please open FlowBoard,FlowBoard
"hey Joseh, play Stay for me",Stay
"Joseh, pull up Spotify",Spotify
launch WhatsApp,WhatsApp
"Joseh, I want to hear Watermelon Sugar",Watermelon Sugar
play Fading Light please,Fading Light
launch Slack,Slack
would you open OrbitView for me?,OrbitView
"Joseh, open DaVinci Resolve for me",DaVinci Resolve
"hey Joseh, play Blinding Lights for me",Blinding Lights
"Joseh, I want to open NightOwl IDE",NightOwl IDE
start LibreOffice,LibreOffice
pull up PixelForge for me,PixelForge
I want to listen to Electric Bloom,Electric Bloom
"Joseh, open Firefox for me",Firefox
"Joseh, play Peaches",Peaches
"Joseh, play Velvet Storm",Velvet Storm
could you play Ghost Frequency?,Ghost Frequency
pull up IntelliJ for me,IntelliJ
Joseh start PyCharm,PyCharm
Joseh play me Hollow Echo,Hollow Echo
"Joseh, queue up Silent Code",Silent Code
"Hey Joseh, can you open SkyDash?",SkyDash
"Joseh, I want to hear Hollow Echo",Hollow Echo
I'd like to hear Peaches,Peaches
"Joseh, I want to hear Stairway to Heaven",Stairway to Heaven
I need you to open Wireshark,Wireshark
Joseh please launch Firefox,Firefox
Joseh play Peaches,Peaches
play Electric Bloom right now,Electric Bloom
I need you to open NeonEdit,NeonEdit
can you start VS Code please?,VS Code
I'd like to hear Last Orbit,Last Orbit
Joseh please launch NightOwl IDE,NightOwl IDE
Joseh please launch Inkscape,Inkscape
"Joseh, play the song Red Noise",Red Noise
I want to listen to Frozen Tide,Frozen Tide
"Joseh, play the song Bohemian Rhapsody",Bohemian Rhapsody
"Joseh, I want to open CodeNest",CodeNest
play Bohemian Rhapsody please,Bohemian Rhapsody
open Spotify please,Spotify
please open Steam,Steam
Joseh open FlowBoard,FlowBoard
I need you to open Blender,Blender
