phrase,score
"What is today's date",1
"Tell me today's date",1
"What's the date today",1
"Can you tell me the date",1
"I need to know today's date",1
"Do you know what date it is",1
"Please tell me the date",1
"What's the current date",1
"Give me today's date",1
"Tell me the current date",1
"What date is it right now",1
"Can you give me today's date",1
"I want to know the date",1
"Could you tell me today's date",1
"What's the date right now",1
"Tell me what date it is",1
"Do you know today's date",1
"What's the exact date today",1
"Can you check today's date",1
"I need today's date please",1
"Tell me the date for today",1
"What's the full date today",1
"Give me the date for today",1
"Can you confirm today's date",1
"What's the date at the moment",1
"Please give me today's date",1
"I need the current date",1
"Tell me the date right now",1
"What's the date now",1
"Can you tell me what date it is",1
"What's today's full date",1
"Tell me today's full date",1
"Give me the current date",1
"Do you know the current date",1
"I want today's date",1
"Tell me the date of today",1
"Can you say today's date",1
"What's the date today please",1
"Please tell me what date it is",1
"I need to check today's date",1
"Tell me the date of right now",1
"What's the date for today",1
"Give me today's full date",1
"Can you provide today's date",1
"I need to know the current date",1
"Tell me the exact date",1
"What's the official date today",1
"Say today's date",1
"Tell me the date now",1
"What's the date currently",1
"What's the weather like today",0
"Play my favorite song",0
"Open my email inbox",0
"Tell me a joke",0
"Turn on the lights",0
"How far is the nearest mall",0
"Show me my notifications",0
"What's the time right now",0
"Call my mom",0
"Send a message to John",0
"Open the browser",0
"Search for pizza recipes",0
"Start a timer for 10 minutes",0
"Stop the alarm",0
"Translate this sentence",0
"Show me my calendar",0
"Open the calculator",0
"Play the next track",0
"Turn off the TV",0
"Increase the volume",0
"Decrease the brightness",0
"Switch to dark mode",0
"Read my last message",0
"Where is the nearest restaurant",0
"How long will it take to get there",0
"Tell me something interesting",0
"What's your name",0
"Who created you",0
"Open the settings menu",0
"Start navigation to home",0
"Show me my photos",0
"Create a new note",0
"Delete this file",0
"Restart the playlist",0
"Turn on Bluetooth",0
"Turn off Wi-Fi",0
"Connect to my headphones",0
"What's the latest news",0
"Show me trending videos",0
"Open YouTube",0
"Search for cat images",0
"Start a new document",0
"Print this page",0
"Open my downloads folder",0
"Check my battery level",0
"How do I cook rice",0
"Tell me a fun fact",0
"What's the capital of Japan",0
"Show me my reminders",0
"Turn on airplane mode",0
