phrase,word,label
can you start Slack please?,Slack,program
"Joseh, play Digital Rain",Digital Rain,music
could you play Hotel California?,Hotel California,music
Joseh please launch Firefox,Firefox,program
Joseh play me Heat Waves,Heat Waves,music
"Joseh, pull up PixelForge",PixelForge,program
please play Solar Drift,Solar Drift,music
"Joseh, queue up Void Walker",Void Walker,music
open VoxTerminal please,VoxTerminal,program
"Joseh, I want to open Telegram",Telegram,program
"hey Joseh, play Velvet Storm for me",Velvet Storm,music
play the music Sunflower,Sunflower,music
start Figma,Figma,program
Joseh play me Frozen Tide,Frozen Tide,music
"Joseh, play the song Shape of You",Shape of You,music
play Rockstar right now,Rockstar,music
put on Chrome Hearts,Chrome Hearts,music
please play Ghost Frequency,Ghost Frequency,music
can you start NovaBrowser please?,NovaBrowser,program
"Joseh, play the song Stairway to Heaven",Stairway to Heaven,music
could you open IntelliJ?,IntelliJ,program
Joseh play me Rolling in the Deep,Rolling in the Deep,music
pull up LibreOffice for me,LibreOffice,program
Joseh play Electric Bloom,Electric Bloom,music
"Joseh, play Sunflower",Sunflower,music
"hey Joseh, play Old Town Road for me",Old Town Road,music
would you open Spotify for me?,Spotify,program
Joseh open VirtualBox,VirtualBox,program
could you play Broken Signal?,Broken Signal,music
"Joseh, I want to open Wireshark",Wireshark,program
go ahead and open PulseChat,PulseChat,program
play the music Dark Matter,Dark Matter,music
I want to listen to Stay,Stay,music
can you play Blinding Lights?,Blinding Lights,music
I want to listen to Stairway to Heaven,Stairway to Heaven,music
launch PyCharm,PyCharm,program
can you play Stay?,Stay,music
Joseh start SkyDash,SkyDash,program
"Joseh, launch PyCharm for me",PyCharm,program
"Joseh, play the song Stairway to Heaven",Stairway to Heaven,music
I want to listen to Dark Matter,Dark Matter,music
"Joseh, play the song Montero",Montero,music
"Joseh, pull up SwiftNotes",SwiftNotes,program
please play Electric Bloom,Electric Bloom,music
"Joseh, open ArcLauncher for me",ArcLauncher,program
can you start Inkscape please?,Inkscape,program
could you play Electric Bloom?,Electric Bloom,music
Joseh play me Hotel California,Hotel California,music
open up Brave,Brave,program
"Joseh, open Notion for me",Notion,program
I'd like to hear Rolling in the Deep,Rolling in the Deep,music
Joseh play Neon Shadows,Neon Shadows,music
Joseh please launch IntelliJ,IntelliJ,program
pull up NovaBrowser for me,NovaBrowser,program
can you play Montero?,Montero,music
please play Dark Matter,Dark Matter,music
"Joseh, queue up Dark Matter",Dark Matter,music
"Joseh, launch LibreOffice for me",LibreOffice,program
"hey, open Postman",Postman,program
Joseh play Ghost Frequency,Ghost Frequency,music
"Joseh, open Notepad++ for me",Notepad++,program
"Joseh, play the song Void Walker",Void Walker,music
"Joseh, put on Stairway to Heaven",Stairway to Heaven,music
"Joseh, start playing Frozen Tide",Frozen Tide,music
"Joseh, pull up Figma",Figma,program
could you play As It Was?,As It Was,music
Joseh start Firefox,Firefox,program
go ahead and open VS Code,VS Code,program
Joseh start Discord,Discord,program
Joseh play me As It Was,As It Was,music
Joseh start VirtualBox,VirtualBox,program
launch KeePass,KeePass,program
"Joseh, I want to hear Crystal Cave",Crystal Cave,music
play Bad Guy right now,Bad Guy,music
"Joseh, I want to open DaVinci Resolve",DaVinci Resolve,program
can you play Peaches?,Peaches,music
would you open LibreOffice for me?,LibreOffice,program
can you start VLC please?,VLC,program
"Joseh, put on Neon Shadows",Neon Shadows,music
start playing Watermelon Sugar please,Watermelon Sugar,music
"Joseh, open FileZilla for me",FileZilla,program
I want to listen to Iron Sky,Iron Sky,music
please open NovaBrowser,NovaBrowser,program
open up Audacity,Audacity,program
please open Wireshark,Wireshark,program
"Joseh, play the song Rolling in the Deep",Rolling in the Deep,music
can you play Fading Light?,Fading Light,music
Joseh open Notion,Notion,program
Joseh play me Parallel Lines,Parallel Lines,music
can you play Ghost Frequency?,Ghost Frequency,music
I need you to open StellarSync,StellarSync,program
open up Postman,Postman,program
play Stay please,Stay,music
"Joseh, queue up Bohemian Rhapsody",Bohemian Rhapsody,music
"Joseh, play Old Town Road",Old Town Road,music
I'd like to hear Peaches,Peaches,music
"Joseh, queue up Hotel California",Hotel California,music
please open Telegram,Telegram,program
Joseh start Notion,Notion,program
would you open OBS Studio for me?,OBS Studio,program
"Joseh, launch Discord for me",Discord,program
"Joseh, pull up VLC",VLC,program
I want to listen to Crystal Cave,Crystal Cave,music
could you open CodeNest?,CodeNest,program
please play Levitating,Levitating,music
start playing Stairway to Heaven please,Stairway to Heaven,music
I want to listen to Electric Bloom,Electric Bloom,music
please open FlowBoard,FlowBoard,program
"hey Joseh, play Stay for me",Stay,music
"Joseh, pull up Spotify",Spotify,program
launch WhatsApp,WhatsApp,program
"Joseh, I want to hear Watermelon Sugar",Watermelon Sugar,music
play Fading Light please,Fading Light,music
launch Slack,Slack,program
would you open OrbitView for me?,OrbitView,program
"Joseh, open DaVinci Resolve for me",DaVinci Resolve,program
"hey Joseh, play Blinding Lights for me",Blinding Lights,music
"Joseh, I want to open NightOwl IDE",NightOwl IDE,program
start LibreOffice,LibreOffice,program
pull up PixelForge for me,PixelForge,program
I want to listen to Electric Bloom,Electric Bloom,music
"Joseh, open Firefox for me",Firefox,program
"Joseh, play Peaches",Peaches,music
"Joseh, play Velvet Storm",Velvet Storm,music
could you play Ghost Frequency?,Ghost Frequency,music
pull up IntelliJ for me,IntelliJ,program
Joseh start PyCharm,PyCharm,program
Joseh play me Hollow Echo,Hollow Echo,music
"Joseh, queue up Silent Code",Silent Code,music
"Hey Joseh, can you open SkyDash?",SkyDash,program
"Joseh, I want to hear Hollow Echo",Hollow Echo,music
I'd like to hear Peaches,Peaches,music
"Joseh, I want to hear Stairway to Heaven",Stairway to Heaven,music
I need you to open Wireshark,Wireshark,program
Joseh please launch Firefox,Firefox,program
Joseh play Peaches,Peaches,music
play Electric Bloom right now,Electric Bloom,music
I need you to open NeonEdit,NeonEdit,program
can you start VS Code please?,VS Code,program
I'd like to hear Last Orbit,Last Orbit,music
Joseh please launch NightOwl IDE,NightOwl IDE,program
Joseh please launch Inkscape,Inkscape,program
"Joseh, play the song Red Noise",Red Noise,music
I want to listen to Frozen Tide,Frozen Tide,music
"Joseh, play the song Bohemian Rhapsody",Bohemian Rhapsody,music
"Joseh, I want to open CodeNest",CodeNest,program
play Bohemian Rhapsody please,Bohemian Rhapsody,music
open Spotify please,Spotify,program
please open Steam,Steam,program
Joseh open FlowBoard,FlowBoard,program
I need you to open Blender,Blender,program
play the music Peaches,Peaches,music
"Joseh, I want to open ZenTerminal",ZenTerminal,program
"hey Joseh, play Industry Baby for me",Industry Baby,music
would you open VLC for me?,VLC,program
play Lose Yourself please,Lose Yourself,music
I need you to open EchoPlayer,EchoPlayer,program
Joseh play Watermelon Sugar,Watermelon Sugar,music
Joseh play Chrome Hearts,Chrome Hearts,music
I need you to open Notepad++,Notepad++,program
Joseh open Notion,Notion,program
"Joseh, put on Fading Light",Fading Light,music
Joseh play Fading Light,Fading Light,music
Joseh please launch NightOwl IDE,NightOwl IDE,program
Joseh start Inkscape,Inkscape,program
"Joseh, pull up Discord",Discord,program
"hey, put on Lose Yourself",Lose Yourself,music
open SkyDash please,SkyDash,program
play Electric Bloom right now,Electric Bloom,music
Joseh play me Last Orbit,Last Orbit,music
"Joseh, launch OrbitView for me",OrbitView,program
I'd like to hear Frozen Tide,Frozen Tide,music
open up Steam,Steam,program
Joseh start Notepad++,Notepad++,program
open up VLC,VLC,program
could you play Frozen Tide?,Frozen Tide,music
open Telegram please,Telegram,program
pull up NeonEdit for me,NeonEdit,program
I want to listen to Sunflower,Sunflower,music
"hey Joseh, play Peaches for me",Peaches,music
"hey Joseh, play Old Town Road for me",Old Town Road,music
"hey, open PulseChat",PulseChat,program
play Crystal Cave right now,Crystal Cave,music
"Joseh, play the song Rockstar",Rockstar,music
would you open ArcLauncher for me?,ArcLauncher,program
open Figma please,Figma,program
"Joseh, queue up Chrome Hearts",Chrome Hearts,music
please play Hotel California,Hotel California,music
"Hey Joseh, can you open KeePass?",KeePass,program
I want to listen to Signal Lost,Signal Lost,music
Joseh start SwiftNotes,SwiftNotes,program
Joseh start Postman,Postman,program
put on Industry Baby,Industry Baby,music
please play Solar Drift,Solar Drift,music
play the music Blueberry Faygo,Blueberry Faygo,music
pull up Telegram for me,Telegram,program
Joseh start FileZilla,FileZilla,program
launch Telegram,Telegram,program
start Steam,Steam,program
"Joseh, launch Discord for me",Discord,program
"Joseh, queue up Red Noise",Red Noise,music
"hey Joseh, play Rockstar for me",Rockstar,music
Joseh open TaskMaster,TaskMaster,program
Joseh open DataVault,DataVault,program
please play Sweet Child O' Mine,Sweet Child O' Mine,music
please open OrbitView,OrbitView,program
"Joseh, I want to open IronVault",IronVault,program
go ahead and open FileZilla,FileZilla,program
Joseh play me Shape of You,Shape of You,music
launch OBS Studio,OBS Studio,program
"Joseh, queue up Crystal Cave",Crystal Cave,music
would you open Discord for me?,Discord,program
"Joseh, play Digital Rain",Digital Rain,music
start Postman,Postman,program
I need you to open VoxTerminal,VoxTerminal,program
can you play Sweet Child O' Mine?,Sweet Child O' Mine,music
"Hey Joseh, can you open IntelliJ?",IntelliJ,program
"Joseh, I want to hear Blinding Lights",Blinding Lights,music
"hey, open Zoom",Zoom,program
play Paper Wings please,Paper Wings,music
"Joseh, queue up Sunflower",Sunflower,music
"hey, put on Billie Jean",Billie Jean,music
could you play Sweet Child O' Mine?,Sweet Child O' Mine,music
Joseh play Electric Bloom,Electric Bloom,music
"Joseh, start playing Blinding Lights",Blinding Lights,music
"hey, put on Rockstar",Rockstar,music
start EchoPlayer,EchoPlayer,program
play God's Plan please,God's Plan,music
Joseh open Telegram,Telegram,program
could you open DataVault?,DataVault,program
open up Wireshark,Wireshark,program
launch StellarSync,StellarSync,program
can you play Last Orbit?,Last Orbit,music
Joseh start GridMapper,GridMapper,program
"hey, put on Dark Matter",Dark Matter,music
"Joseh, open CodeNest for me",CodeNest,program
I want to listen to Red Noise,Red Noise,music
launch GIMP,GIMP,program
Joseh open Brave,Brave,program
"Hey Joseh, can you open FlowBoard?",FlowBoard,program
